route_short_name,route_long_name,route_type,route_id,agency_id
,193STLDOWN,3,0,DIMTS
,125EXTDOWN,3,1,DIMTS
,827LNKSTLUP,3,2,DIMTS
,981ADOWN,3,3,DIMTS
,199DOWN,3,4,DIMTS
,320DOWN,3,5,DIMTS
,783ADOWN,3,6,DIMTS
,258STLUP,3,7,DIMTS
,774STLUP,3,8,DIMTS
,179UP,3,9,DIMTS
,61DOWN,3,10,DIMTS
,185STLDOWN,3,11,DIMTS
,465LINKSTLDOWN,3,12,DIMTS
,404DOWN,3,13,DIMTS
,844DOWN,3,14,DIMTS
,114BUP,3,15,DIMTS
,261LNKSTLDOWN,3,16,DIMTS
,433STLUP,3,17,DIMTS
,840STLUP,3,18,DIMTS
,990E_CLUP,3,19,DIMTS
,887STLDOWN,3,20,DIMTS
,148ADOWN,3,21,DIMTS
,801STLDOWN,3,22,DIMTS
,764MPSTLDOWN,3,23,DIMTS
,411LNKSTLUP,3,24,DIMTS
,182AUP,3,25,DIMTS
,825STLDOWN,3,26,DIMTS
,753DOWN,3,27,DIMTS
,148STLUP,3,28,DIMTS
,236AUP,3,29,DIMTS
,260STLDOWN,3,30,DIMTS
,548CLUP,3,31,DIMTS
,703AUP,3,32,DIMTS
,836EUP,3,33,DIMTS
,129DOWN,3,34,DIMTS
,511ASTLUP,3,35,DIMTS
,171DOWN,3,36,DIMTS
,145STLUP,3,37,DIMTS
,505DOWN,3,38,DIMTS
,848AUP,3,39,DIMTS
,448CLUP,3,40,DIMTS
,429CLDOWN,3,41,DIMTS
,818BUP,3,42,DIMTS
,CGO_COMPLEX-1_STLUP,3,43,DIMTS
,378STLUP,3,44,DIMTS
,943STLUP,3,45,DIMTS
,708LSTLDOWN,3,46,DIMTS
,208LNKSTLUP,3,47,DIMTS
,154UP,3,48,DIMTS
,774DOWN,3,49,DIMTS
,173STLUP,3,50,DIMTS
,172UP,3,51,DIMTS
,790AUP2,3,52,DIMTS
,73DOWN,3,53,DIMTS
,548EXTUP,3,54,DIMTS
,961BUP,3,55,DIMTS
,978ADOWN,3,56,DIMTS
,836 578LTDDOWN,3,57,DIMTS
,543DOWN,3,58,DIMTS
,938ACLDOWN,3,59,DIMTS
,893UP,3,60,DIMTS
,942EUP,3,61,DIMTS
,445STLUP,3,62,DIMTS
,934STLDOWN,3,63,DIMTS
,729DOWN,3,64,DIMTS
,411STLDOWN2,3,65,DIMTS
,894STLUP,3,66,DIMTS
,262LINKSTLDOWN,3,67,DIMTS
,131UP,3,68,DIMTS
,143UP,3,69,DIMTS
,894CLUP,3,70,DIMTS
,109DOWN,3,71,DIMTS
,770ADOWN,3,72,DIMTS
,829STLDOWN,3,73,DIMTS
,706AUP,3,74,DIMTS
,724DOWN,3,75,DIMTS
,827STLDOWN,3,76,DIMTS
,33LINKSTLDOWN,3,77,DIMTS
,239DOWN,3,78,DIMTS
,243STLDOWN,3,79,DIMTS
,894CLDOWN,3,80,DIMTS
,465DOWN,3,81,DIMTS
,821DOWN,3,82,DIMTS
,348DOWN,3,83,DIMTS
,836STLUP,3,84,DIMTS
,234CLEUP,3,85,DIMTS
,221UP,3,86,DIMTS
,927STLUP,3,87,DIMTS
,107DOWN,3,88,DIMTS
,340UP,3,89,DIMTS
,836LNKSTLUP,3,90,DIMTS
,825EUP,3,91,DIMTS
,109STLDOWN,3,92,DIMTS
,114+990EDOWN,3,93,DIMTS
,182ACLSTLDOWN,3,94,DIMTS
,790STLDOWN,3,95,DIMTS
,979STLUP,3,96,DIMTS
,712UP,3,97,DIMTS
,107STLUP,3,98,DIMTS
,838DOWN,3,99,DIMTS
,153DOWN,3,100,DIMTS
,175UP,3,101,DIMTS
,858DOWN,3,102,DIMTS
,588DOWN,3,103,DIMTS
,540STLUP,3,104,DIMTS
,907UP,3,105,DIMTS
,818BDOWN,3,106,DIMTS
,828AUP,3,107,DIMTS
,611BUP,3,108,DIMTS
,146AUP,3,109,DIMTS
,418EXTDOWN,3,110,DIMTS
,185LNKSTLUP,3,111,DIMTS
,885STLUP,3,112,DIMTS
,978UP,3,113,DIMTS
,827LSTLUP,3,114,DIMTS
,858UP,3,115,DIMTS
,825ADOWN,3,116,DIMTS
,931STLDOWN,3,117,DIMTS
,922DOWN,3,118,DIMTS
,83UP,3,119,DIMTS
,720ADOWN,3,120,DIMTS
,124STLDOWN,3,121,DIMTS
,103ADOWN,3,122,DIMTS
,703UP,3,123,DIMTS
,972DOWN,3,124,DIMTS
,858STLUP,3,125,DIMTS
,611DOWN,3,126,DIMTS
,307UP,3,127,DIMTS
,433CLDOWN,3,128,DIMTS
,836 578LTDUP,3,129,DIMTS
,479STLDOWN,3,130,DIMTS
,917DOWN,3,131,DIMTS
,149STLDOWN,3,132,DIMTS
,827AUP,3,133,DIMTS
,784STLUP,3,134,DIMTS
,405ADOWN,3,135,DIMTS
,774STLDOWN,3,136,DIMTS
,783UP,3,137,DIMTS
,763UP,3,138,DIMTS
,73LNKSTLDOWN,3,139,DIMTS
,125ADOWN,3,140,DIMTS
,717AUP,3,141,DIMTS
,825UP,3,142,DIMTS
,833ADOWN,3,143,DIMTS
,117DOWN,3,144,DIMTS
,944DOWN,3,145,DIMTS
,753STLDOWN,3,146,DIMTS
,261DOWN,3,147,DIMTS
,254DOWN,3,148,DIMTS
,104UP,3,149,DIMTS
,403CLUP,3,150,DIMTS
,129STLUP,3,151,DIMTS
,131AUP,3,152,DIMTS
,728LNKSTLDOWN,3,153,DIMTS
,174STLDOWN,3,154,DIMTS
,507STLDOWN,3,155,DIMTS
,743ADOWN,3,156,DIMTS
,979DOWN,3,157,DIMTS
,833AUP,3,158,DIMTS
,460STLDOWN,3,159,DIMTS
,956STLUP,3,160,DIMTS
,17AUP,3,161,DIMTS
,827LSTLDOWN,3,162,DIMTS
,260STLUP,3,163,DIMTS
,479ACLUP,3,164,DIMTS
,239UP,3,165,DIMTS
,988DOWN,3,166,DIMTS
,114BDOWN,3,167,DIMTS
,156UP,3,168,DIMTS
,119AUP,3,169,DIMTS
,927EXTUP,3,170,DIMTS
,137STLDOWN,3,171,DIMTS
,61STLDOWN,3,172,DIMTS
,429STLUP2,3,173,DIMTS
,938LINKSTLUP,3,174,DIMTS
,578ADOWN,3,175,DIMTS
,829AUP,3,176,DIMTS
,378STLDOWN,3,177,DIMTS
,801LNKSTLUP,3,178,DIMTS
,540CLDOWN,3,179,DIMTS
,901STLCLUP,3,180,DIMTS
,GL23UP,3,181,DIMTS
,792UP,3,182,DIMTS
,129STLDOWN,3,183,DIMTS
,336ADOWN,3,184,DIMTS
,539UP,3,185,DIMTS
,175ADOWN,3,186,DIMTS
,968UP,3,187,DIMTS
,144STLUP,3,188,DIMTS
,85EXTDOWN,3,189,DIMTS
,813LNKSTLUP,3,190,DIMTS
,961BDOWN,3,191,DIMTS
,873STLDOWN,3,192,DIMTS
,741STLUP,3,193,DIMTS
,922AUP,3,194,DIMTS
,932AUP,3,195,DIMTS
,126UP,3,196,DIMTS
,S1UP,3,197,DIMTS
,173STLDOWN,3,198,DIMTS
,219EXTUP,3,199,DIMTS
,925STLUP,3,200,DIMTS
,134UP,3,201,DIMTS
,114UP,3,202,DIMTS
,803CLDOWN,3,203,DIMTS
,972UP,3,204,DIMTS
,CGO_COMPLEX-2_UP,3,205,DIMTS
,740AUP,3,206,DIMTS
,816DOWN,3,207,DIMTS
,624ACLUP,3,208,DIMTS
,937AUP,3,209,DIMTS
,175AUP,3,210,DIMTS
,753UP,3,211,DIMTS
,824LNKSTLDOWN,3,212,DIMTS
,135DOWN,3,213,DIMTS
,828ADOWN,3,214,DIMTS
,138UP,3,215,DIMTS
,167STLDOWN,3,216,DIMTS
,108DOWN,3,217,DIMTS
,905UP,3,218,DIMTS
,543STLUP,3,219,DIMTS
,719DOWN,3,220,DIMTS
,774BDOWN,3,221,DIMTS
,981UP,3,222,DIMTS
,816EXTDOWN,3,223,DIMTS
,101BUP,3,224,DIMTS
,780DOWN,3,225,DIMTS
,745UP,3,226,DIMTS
,623UP,3,227,DIMTS
,720UP,3,228,DIMTS
,522CLDOWN,3,229,DIMTS
,101EXTUP,3,230,DIMTS
,112AUP,3,231,DIMTS
,119ADOWN,3,232,DIMTS
,885STLDOWN,3,233,DIMTS
,942STLUP,3,234,DIMTS
,801UP,3,235,DIMTS
,826LINKSTLDOWN,3,236,DIMTS
,378UP,3,237,DIMTS
,724EXTUP,3,238,DIMTS
,821STLDOWN,3,239,DIMTS
,740EXTUP,3,240,DIMTS
,887UP,3,241,DIMTS
,141STLUP,3,242,DIMTS
,128DOWN,3,243,DIMTS
,460STLUP2,3,244,DIMTS
,144STLDOWN,3,245,DIMTS
,138ADOWN,3,246,DIMTS
,445AUP,3,247,DIMTS
,829STLUP,3,248,DIMTS
,780UP,3,249,DIMTS
,154STLDOWN,3,250,DIMTS
,858ADOWN,3,251,DIMTS
,701DOWN,3,252,DIMTS
,828UP,3,253,DIMTS
,702UP,3,254,DIMTS
,331LNKSTLDOWN,3,255,DIMTS
,429CLUP,3,256,DIMTS
,149STLUP,3,257,DIMTS
,112ADOWN,3,258,DIMTS
,114BUP2,3,259,DIMTS
,773UP,3,260,DIMTS
,827DOWN,3,261,DIMTS
,133ADOWN,3,262,DIMTS
,719STLUP,3,263,DIMTS
,917STLUP,3,264,DIMTS
,411STLDOWN,3,265,DIMTS
,835LSTLUP,3,266,DIMTS
,956DOWN,3,267,DIMTS
,751UP,3,268,DIMTS
,741UP,3,269,DIMTS
,114STLDOWN,3,270,DIMTS
,165UP,3,271,DIMTS
,410STL2DOWN,3,272,DIMTS
,78STLDOWN,3,273,DIMTS
,154AUP,3,274,DIMTS
,886UP,3,275,DIMTS
,822STLDOWN,3,276,DIMTS
,148DOWN,3,277,DIMTS
,578AUP,3,278,DIMTS
,418AUP,3,279,DIMTS
,144ADOWN2,3,280,DIMTS
,729UP,3,281,DIMTS
,202DOWN,3,282,DIMTS
,776UP,3,283,DIMTS
,174UP,3,284,DIMTS
,134STLUP,3,285,DIMTS
,931STLUP,3,286,DIMTS
,978EUP,3,287,DIMTS
,124UP,3,288,DIMTS
,891UP,3,289,DIMTS
,391DOWN,3,290,DIMTS
,708STLUP,3,291,DIMTS
,998STLUP,3,292,DIMTS
,792STLDOWN,3,293,DIMTS
,982LNKSTLUP,3,294,DIMTS
,740EXTDOWN,3,295,DIMTS
,835UP,3,296,DIMTS
,934STLUP,3,297,DIMTS
,923ADOWN,3,298,DIMTS
,817NDOWN,3,299,DIMTS
,770BDOWN,3,300,DIMTS
,992ADOWN,3,301,DIMTS
,711DOWN,3,302,DIMTS
,840DOWN,3,303,DIMTS
,806DOWN,3,304,DIMTS
,817LNKSTLUP,3,305,DIMTS
,764LNKSTLUP,3,306,DIMTS
,400DOWN,3,307,DIMTS
,445STLDOWN,3,308,DIMTS
,391STLUP,3,309,DIMTS
,457STLUP,3,310,DIMTS
,784DOWN,3,311,DIMTS
,473CLUP,3,312,DIMTS
,396DOWN,3,313,DIMTS
,78STLUP,3,314,DIMTS
,729BDOWN,3,315,DIMTS
,183DOWN,3,316,DIMTS
,740BUP,3,317,DIMTS
,480DOWN,3,318,DIMTS
,78DOWN,3,319,DIMTS
,624ALINKSTLUP,3,320,DIMTS
,158DOWN,3,321,DIMTS
,410STL2UP,3,322,DIMTS
,832LINKSTLDOWN,3,323,DIMTS
,874DOWN,3,324,DIMTS
,CGO_COMPLEX-1_UP,3,325,DIMTS
,185LNKSTL2DOWN,3,326,DIMTS
,403STLDOWN,3,327,DIMTS
,348UP,3,328,DIMTS
,745STLDOWN,3,329,DIMTS
,740ADOWN,3,330,DIMTS
,934UP,3,331,DIMTS
,540ACLDOWN,3,332,DIMTS
,836DOWN,3,333,DIMTS
,624ACLDOWN,3,334,DIMTS
,85AEXTUP,3,335,DIMTS
,TMS(+)LAJPATNAGAR,3,336,DIMTS
,522CLUP,3,337,DIMTS
,TMS-LAJPATNGR-AZADPURTERMINAL,3,338,DIMTS
,403CLDOWN,3,339,DIMTS
,624ASTLUP,3,340,DIMTS
,125AUP,3,341,DIMTS
,859DOWN,3,342,DIMTS
,165ADOWN,3,343,DIMTS
,893DOWN,3,344,DIMTS
,887DOWN,3,345,DIMTS
,124STLUP,3,346,DIMTS
,917STLDOWN,3,347,DIMTS
,548CLDOWN,3,348,DIMTS
,764MVSTLDOWN,3,349,DIMTS
,548EXTDOWN,3,350,DIMTS
,978STLDOWN,3,351,DIMTS
